loan_id,application_id,customer_id,disbursement_date,loan_amount,current_loan_status,total_principal_paid,total_interest_paid,remaining_balance,last_payment_date,next_payment_date,days_past_due,default_flag,application_date,loan_purpose,amount_requested,term_months,application_status,funnel_stage_reached,interest_rate_offered,dti_ratio,customer_name,age,employment_status,length_of_employment_years,annual_income,housing_status,city,state,join_date,credit_score_fico,total_credit_lines,open_credit_lines,derogatory_public_records,revolving_utilization_rate,credit_history_length_months,inquiries_last_6_months,nsf_count
LOAN0000011,APP0000018,CUST004736,2023-09-30,13570.21,Current,7050.38,1269.51,6519.83,2025-04-28,2025-05-28,20,0,,Credit Card Refinancing,13570.21,60,Approved,Disbursed,20.41,2.79,Amit Sharma,51.0,Employed,0.5,80289.47,Mortgage,Denver,CO,23/01/2019,608.0,15.0,13.0,0.0,11.19,313.0,0.0,0.0
LOAN0000012,APP0000026,CUST001219,2022-12-08,19215.3,Fully Paid,11164.85,1367.05,8050.45,2023-02-27,2023-03-29,0,0,,Major Purchase,19215.3,60,Approved,Disbursed,16.25,7.16,Lisa Sharma,29.0,Employed,0.68,63852.92,Own,Miami,FL,2020-09-08,737.0,20.0,11.0,0.0,30.22,89.0,1.0,0.0
LOAN0000013,APP0000027,CUST002797,2025-10-28,14479.43,Fully Paid,8220.15,1711.98,6259.28,,2027-10-30,10,0,2024-04-12,Credit Card Refinancing,14479.43,36,Approved,Disbursed,27.23,,Vikram Miller,46.0,Self-Employed,2.03,116031.3,Rent,Dallas,TX,2019-09-20,603.0,14.0,7.0,0.0,28.94,224.0,2.0,0.0
LOAN0000014,APP0000028,CUST003052,2025-03-14,24022.55,Fully Paid,22978.07,5406.56,1044.48,2025-08-08,2025-09-07,10,0,2024-07-06,Debt Consolidation,24022.55,60,Approved,Disbursed,7.4,28.01,Sunita Kumar,31.0,Employed,5.42,181764.78,Own,Chicago,IL,2018-04-15,691.0,17.0,3.0,0.0,57.22,272.0,0.0,0.0
LOAN0000015,APP0000030,CUST001090,2022-02-08,6145.17,Charged-Off,3608.54,868.91,2536.63,,2023-01-16,72,1,2024-02-07,Major Purchase,6145.17,36,Approved,Disbursed,6.88,17.72,Ramesh Rao,37.0,Retired,0.0,,Rent,Indianapolis,IN,19/06/2017,574.0,10.0,11.0,0.0,8.91,278.0,1.0,9.0
LOAN0000016,APP0000031,CUST003124,2022-09-23,23558.64,Charged-Off,5413.68,1079.42,18144.96,2025-02-12,2025-03-14,336,1,2022-07-28,Home Improvement,23558.64,60,Approved,Disbursed,25.81,,Patricia Hernandez,35.0,Employed,6.33,94193.93,Rent,Cleveland,OH,2015-09-01,850.0,5.0,7.0,1.0,39.41,149.0,2.0,10.0
LOAN0000017,APP0000032,CUST004835,2024-08-29,16544.52,Late (16-30 days),10644.04,2614.57,5900.48,2025-08-26,2025-09-25,20,0,2025-08-20,Credit Card Refinancing,16544.52,60,Approved,Disbursed,16.57,14.98,Joseph Patel,22.0,Employed,2.05,65883.01,Own,Memphis,TN,2017-08-14,618.0,14.0,8.0,3.0,35.64,335.0,0.0,0.0
LOAN0000018,APP0000033,CUST002257,2025-01-16,10053.32,Current,6450.39,1223.84,3602.93,,2025-10-01,0,0,2024-04-14,Home Improvement,10053.32,60,Approved,Disbursed,6.63,,Anjali Miller,50.0,Self-Employed,1.84,29259.94,Mortgage,San Antonio,TX,2018-06-20,694.0,9.0,5.0,0.0,28.78,249.0,0.0,0.0
LOAN0000019,APP0000035,CUST004178,2022-09-10,7741.16,Current,5442.03,578.32,2299.13,2024-10-15,2024-11-14,0,0,2023-06-29,Home Improvement,7741.16,36,Approved,Disbursed,7.23,10.89,Kiran Hernandez,43.0,Self-Employed,14.51,155897.2,Mortgage,Minneapolis,MN,2016-07-01,809.0,22.0,4.0,0.0,25.72,87.0,0.0,0.0
LOAN0000020,APP0000041,CUST003615,2022-03-23,40944.76,Late (16-30 days),26088.51,5135.1,14856.25,2023-12-16,2024-01-15,20,0,2022-11-07,Home Improvement,40944.76,60,Approved,Disbursed,12.07,,William Wilson,48.0,Self-Employed,0.01,127713.72,Rent,Jacksonville,FL,2018-02-10,789.0,14.0,10.0,0.0,57.02,103.0,0.0,0.0
LOAN0000021,APP0000042,CUST002212,2024-10-23,5526.02,Current,4917.5,691.38,608.52,2025-09-24,2025-10-24,0,0,2023-09-18,Home Improvement,5526.02,36,Approved,Disbursed,9.84,4.42,Joseph Rodriguez,47.0,Self-Employed,2.55,30229.18,Own,Denver,CO,21/02/2018,688.0,11.0,5.0,0.0,20.06,46.0,3.0,0.0
LOAN0000022,APP0000045,CUST000202,2022-03-19,13408.58,Fully Paid,12748.71,3083.59,659.87,2023-07-28,2023-08-27,5,0,2024-03-30,Home Improvement,13408.58,36,Approved,Disbursed,22.34,18.2,James Kumar,46.0,Employed,1.32,118526.31,Rent,Houston,Texas,2019-01-12,650.0,10.0,5.0,0.0,52.69,237.0,6.0,0.0
LOAN0000023,APP0000046,CUST002647,2023-10-24,11059.67,Fully Paid,8733.05,1484.68,2326.62,2026-01-01,2026-01-31,20,0,2025-08-10,Credit Card Refinancing,11059.67,60,Approved,Disbursed,17.06,13.07,Arjun Patel,35.0,Retired,0.0,42708.42,Rent,Los Angeles,CA,2021-11-29,510.0,20.0,10.0,0.0,21.68,349.0,2.0,0.0
LOAN0000024,APP0000047,CUST002184,2025-08-11,13242.32,Current,12909.06,2499.42,333.26,2027-01-18,2027-02-17,5,0,2022-06-28,Debt Consolidation,13242.32,36,Approved,Disbursed,21.69,11.79,Anil Garcia,56.0,Employed,18.34,174383.27,Mortgage,Arlington,Texas,2016-01-24,759.0,4.0,3.0,0.0,22.67,112.0,1.0,0.0
LOAN0000025,APP0000048,CUST002264,2023-01-09,30083.96,Current,26802.65,6057.03,3281.31,2025-01-19,2025-02-18,0,0,2024-11-27,Debt Consolidation,30083.96,60,Approved,Disbursed,11.43,12.27,Kiran Smith,27.0,Employed,8.2,36493.9,Rent,Atlanta,GA,2020-08-27,729.0,22.0,12.0,0.0,44.04,11.0,0.0,0.0
LOAN0000026,APP0000051,CUST001067,2024-05-14,22086.69,Late (31-120 days),13139.88,1774.99,8946.81,2025-03-19,2025-04-18,304,1,2022-12-11,Debt Consolidation,22086.69,60,Approved,Disbursed,21.87,24.14,Ramesh Kumar,24.0,Employed,2.94,53133.48,Mortgage,Baltimore,MD,2019-04-27,621.0,13.0,7.0,0.0,40.55,191.0,6.0,10.0
LOAN0000027,APP0000053,CUST000250,2022-12-27,6340.0,Current,5754.29,1400.04,585.71,2024-05-17,2024-06-16,0,0,2025-02-21,Debt Consolidation,6340.0,36,Approved,Disbursed,15.79,10.56,Deepa Davis,44.0,Employed,1.87,70878.83,Mortgage,Houston,TX,2016-03-31,636.0,16.0,5.0,0.0,5.24,250.0,2.0,0.0
LOAN0000028,APP0000055,CUST000589,2024-08-14,6947.98,Fully Paid,6280.94,1097.04,667.04,,2027-01-23,0,0,2023-02-06,Debt Consolidation,6947.98,60,Approved,Disbursed,21.84,10.27,Patricia Shah,49.0,Employed,2.64,28989.38,Rent,Los Angeles,CA,27/09/2021,730.0,22.0,4.0,1.0,38.67,191.0,1.0,0.0
LOAN0000029,APP0000056,CUST001877,2024-09-14,14161.1,Current,13219.67,2022.85,941.43,2026-09-12,2026-10-12,20,0,2022-03-30,Credit Card Refinancing,14161.1,36,Approved,Disbursed,7.95,5.82,Amit Gonzalez,33.0,Employed,2.0,95238.03,Rent,Omaha,NE,2015-11-06,471.0,19.0,14.0,0.0,36.43,280.0,2.0,0.0
LOAN0000030,APP0000057,CUST002685,2024-01-01,10390.03,Fully Paid,9757.04,842.7,632.99,2024-12-18,2025-01-17,0,0,2023-03-11,Debt Consolidation,10390.03,36,Approved,Disbursed,8.29,22.63,Robert Williams,44.0,Employed,4.51,237989.41,Own,El Paso,TX,2019-11-08,768.0,5.0,6.0,0.0,15.39,163.0,2.0,0.0
LOAN0000031,APP0000059,CUST004944,2025-08-08,8655.32,Current,6563.37,384.14,2091.95,2025-08-21,2025-09-20,5,0,,Debt Consolidation,8655.32,36,Approved,Disbursed,14.39,17.85,Robert Reddy,31.0,Self-Employed,3.43,88024.19,Mortgage,Minneapolis,MN,2020-04-03,620.0,13.0,7.0,1.0,21.35,7.0,3.0,0.0
LOAN0000032,APP0000060,CUST002876,2022-07-30,23470.18,Charged-Off,1423.72,305.34,22046.46,2024-06-23,2024-07-23,273,1,2022-08-20,Debt Consolidation,23470.18,36,Approved,Disbursed,19.54,11.56,Linda Rodriguez,29.0,Employed,0.83,59749.22,Mortgage,Atlanta,GA,2019-09-05,646.0,6.0,12.0,2.0,3.54,64.0,1.0,7.0
LOAN0000033,APP0000062,CUST000785,2023-01-10,12245.82,Current,6399.12,461.86,5846.7,,2025-04-15,5,0,2024-11-30,Credit Card Refinancing,12245.82,36,Approved,Disbursed,13.97,7.42,Sunita Jones,46.0,Employed,4.39,49270.72,Mortgage,Denver,CO,2018-07-18,672.0,20.0,5.0,0.0,59.09,358.0,0.0,0.0
LOAN0000034,APP0000064,CUST003776,2024-03-04,9886.82,Fully Paid,8083.57,492.27,1803.25,2025-04-16,2025-05-16,0,0,2022-05-07,Debt Consolidation,9886.82,36,Approved,Disbursed,9.41,15.63,Thomas Miller,45.0,Employed,2.43,39576.57,Mortgage,San Jose,California,2018-12-26,606.0,2.0,8.0,0.0,49.66,68.0,3.0,0.0
LOAN0000035,APP0000065,CUST004270,2023-01-09,10315.43,In Grace Period,6692.51,1562.93,3622.92,2024-08-16,2024-09-15,20,0,2023-05-20,Debt Consolidation,10315.43,60,Approved,Disbursed,15.6,24.73,James Miller,51.0,Retired,0.0,31112.72,Mortgage,Washington,DC,2020-01-16,746.0,3.0,6.0,0.0,50.86,115.0,4.0,0.0
LOAN0000036,APP0000066,CUST004795,2023-11-17,10781.84,Current,8480.6,566.45,2301.24,2026-03-14,2026-04-13,20,0,2022-05-20,Credit Card Refinancing,10781.84,36,Approved,Disbursed,12.6,17.95,Jessica Garcia,38.0,Unemployed,0.0,23129.23,Rent,San Jose,CA,2018-05-07,695.0,14.0,12.0,0.0,21.68,80.0,1.0,1.0
LOAN0000037,APP0000069,CUST004050,2025-06-15,12114.13,Current,8443.32,2078.13,3670.81,2027-01-23,2027-02-22,0,0,2025-01-19,Home Improvement,12114.13,36,Approved,Disbursed,24.26,4.15,James Davis,44.0,Employed,1.6,36336.08,Mortgage,Raleigh,NC,2016-03-16,604.0,24.0,9.0,1.0,21.59,131.0,1.0,1.0
LOAN0000038,APP0000070,CUST002693,2025-05-26,12338.04,Fully Paid,11593.99,1856.43,744.05,2025-11-16,2025-12-16,0,0,2025-01-14,Debt Consolidation,12338.04,36,Approved,Disbursed,11.44,12.53,Kiran Nair,39.0,Employed,0.57,28995.93,Rent,Atlanta,GA,2015-03-30,850.0,12.0,14.0,0.0,39.27,77.0,3.0,0.0
LOAN0000039,APP0000071,CUST000063,2022-02-25,24201.16,Current,13399.42,1561.96,10801.74,2022-12-17,2023-01-16,0,0,,Credit Card Refinancing,24201.16,36,Approved,Disbursed,13.43,3.35,Deepa Gonzalez,26.0,Self-Employed,1.05,25175.96,Mortgage,Memphis,TN,2016-04-10,712.0,23.0,1.0,0.0,11.04,210.0,2.0,0.0
LOAN0000040,APP0000073,CUST001323,2025-06-02,18574.24,Current,15164.95,2588.47,3409.29,2025-09-10,2025-10-10,0,0,2025-01-21,Credit Card Refinancing,18574.24,36,Approved,Disbursed,21.33,1.26,Rahul Nair,39.0,Self-Employed,9.6,44606.4,Own,Omaha,NE,2015-12-08,647.0,6.0,7.0,1.0,21.14,29.0,0.0,0.0
LOAN0000041,APP0000075,CUST001146,2022-10-08,20093.21,Current,11407.72,2112.43,8685.49,2024-09-30,2024-10-30,0,0,2025-01-14,Credit Card Refinancing,20093.21,36,Approved,Disbursed,11.72,11.5,Rahul Martinez,40.0,Unemployed,0.0,90835.14,Mortgage,Raleigh,NC,2021-01-23,545.0,12.0,6.0,3.0,18.13,245.0,1.0,0.0
LOAN0000042,APP0000077,CUST004304,2022-12-26,41218.17,Fully Paid,20692.39,3892.41,20525.78,2023-07-19,2023-08-18,0,0,2024-12-22,Home Improvement,41218.17,36,Approved,Disbursed,24.03,8.56,Patricia Williams,48.0,Self-Employed,6.01,25936.88,Rent,Atlanta,GA,2017-08-18,620.0,20.0,11.0,1.0,10.17,73.0,0.0,0.0
LOAN0000043,APP0000078,CUST001102,2023-05-16,9230.38,Current,7506.24,1862.88,1724.14,2024-12-20,2025-01-19,5,0,2023-04-07,Major Purchase,9230.38,60,Approved,Disbursed,26.42,41.05,Jessica Jones,22.0,Employed,2.44,136142.41,Mortgage,Fresno,CA,2016-04-20,505.0,12.0,9.0,0.0,3.08,70.0,2.0,0.0
LOAN0000044,APP0000079,CUST002228,2024-05-18,19857.65,Fully Paid,17392.53,1542.49,2465.12,2025-07-02,2025-08-01,0,0,,Major Purchase,19857.65,60,Approved,Disbursed,26.33,25.59,Neha Gonzalez,32.0,Employed,0.17,56136.03,Rent,Denver,CO,2015-06-12,564.0,5.0,10.0,0.0,22.55,148.0,0.0,0.0
LOAN0000045,APP0000080,CUST002949,2025-09-23,8903.32,Current,7349.04,1068.5,1554.28,,2027-08-18,0,0,2024-03-23,Debt Consolidation,8903.32,60,Approved,Disbursed,11.97,22.1,Jennifer Nair,37.0,Retired,0.0,42972.92,Rent,Sacramento,CA,16/01/2016,665.0,17.0,10.0,2.0,36.28,139.0,0.0,0.0
LOAN0000046,APP0000081,CUST004509,2023-11-08,6777.99,Fully Paid,4363.6,962.0,2414.39,2026-02-09,2026-03-11,5,0,2025-07-30,Credit Card Refinancing,6777.99,36,Approved,Disbursed,24.11,3.76,Pooja Mehta,47.0,Employed,0.49,43134.18,Mortgage,Charlotte,NC,2021-10-06,693.0,17.0,3.0,2.0,25.2,268.0,0.0,0.0
LOAN0000047,APP0000082,CUST000147,2024-08-25,29970.83,Current,18029.78,2584.24,11941.05,2025-12-27,2026-01-26,5,0,2022-09-23,Home Improvement,29970.83,60,Approved,Disbursed,14.79,23.16,Linda Lopez,25.0,Employed,0.2,30176.99,Own,Omaha,NE,03/03/2015,736.0,9.0,8.0,0.0,20.67,177.0,2.0,0.0
LOAN0000048,APP0000083,CUST001143,2023-11-12,13649.74,Fully Paid,10236.31,537.9,3413.43,,2025-09-08,0,0,2023-03-28,Home Improvement,13649.74,60,Approved,Disbursed,14.58,3.79,William Martinez,38.0,Employed,0.14,32165.11,Rent,Nashville,TN,2020-04-03,768.0,4.0,7.0,0.0,12.88,214.0,0.0,0.0
LOAN0000049,APP0000088,CUST003097,2024-02-29,73443.92,Current,70188.0,13524.89,3255.92,2025-06-20,2025-07-20,0,0,2022-02-05,Credit Card Refinancing,73443.92,60,Approved,Disbursed,7.69,10.49,Jennifer Kumar,52.0,Employed,6.0,94041.37,Mortgage,Cleveland,OH,2016-07-10,721.0,6.0,1.0,3.0,9.12,73.0,2.0,0.0
LOAN0000050,APP0000092,CUST001833,2022-09-20,25096.26,Fully Paid,21412.3,4098.49,3683.96,2022-12-11,2023-01-10,5,0,2024-04-16,Home Improvement,25096.26,36,Approved,Disbursed,14.33,18.26,Amit Gupta,51.0,Employed,4.0,27699.33,Mortgage,Las Vegas,NV,2018-07-31,614.0,20.0,6.0,0.0,22.05,9.0,0.0,0.0
LOAN0000051,APP0000093,CUST001019,2023-06-15,19072.38,Current,14300.56,826.28,4771.82,2024-09-23,2024-10-23,0,0,2023-04-06,Home Improvement,19072.38,36,Approved,Disbursed,7.2,20.5,Michael Reddy,36.0,Employed,12.12,31745.02,Mortgage,Cleveland,OH,2018-08-09,829.0,13.0,11.0,0.0,52.86,338.0,0.0,1.0
LOAN0000052,APP0000094,CUST003230,2023-07-04,13157.38,Fully Paid,9669.25,516.62,3488.13,2023-08-03,2023-09-02,10,0,2023-01-31,Major Purchase,13157.38,36,Approved,Disbursed,12.94,7.7,Barbara Anderson,39.0,Retired,0.0,26803.54,Mortgage,Baltimore,MD,2017-04-22,798.0,3.0,14.0,0.0,36.65,231.0,0.0,0.0
LOAN0000053,APP0000095,CUST000342,2025-01-17,13368.39,Current,12457.89,952.3,910.5,2026-08-08,2026-09-07,20,0,2023-04-08,Small Business,13368.39,60,Approved,Disbursed,7.94,20.57,Michael Rao,42.0,Employed,15.84,106956.13,Rent,Tucson,Arizona,2017-01-28,643.0,9.0,9.0,1.0,14.35,112.0,1.0,1.0
LOAN0000054,APP0000096,CUST002234,2024-05-02,16253.72,Current,11121.62,1911.52,5132.1,2025-02-04,2025-03-06,20,0,2024-08-12,Debt Consolidation,16253.72,36,Approved,Disbursed,25.32,28.93,Jessica Sharma,50.0,Employed,6.54,63165.84,Own,San Francisco,CA,09/10/2015,762.0,5.0,8.0,0.0,62.5,164.0,1.0,0.0
LOAN0000055,APP0000097,CUST003808,2023-10-14,13791.57,Charged-Off,5515.68,703.53,8275.89,2024-11-23,2024-12-23,73,1,2025-08-17,Credit Card Refinancing,13791.57,60,Approved,Disbursed,26.16,14.68,Sarah Davis,22.0,Retired,0.0,15000.0,Rent,Chicago,IL,25/11/2015,724.0,7.0,7.0,1.0,34.47,15.0,0.0,5.0
LOAN0000056,APP0000098,CUST002525,2023-01-26,28321.21,Current,19646.04,1634.29,8675.17,2024-02-23,2024-03-24,0,0,2024-04-06,Major Purchase,28321.21,36,Approved,Disbursed,6.11,30.11,Patricia Rodriguez,51.0,Self-Employed,4.71,46492.7,Own,Dallas,Texas,2019-03-26,681.0,16.0,4.0,0.0,51.23,164.0,0.0,0.0
LOAN0000057,APP0000099,CUST004150,2022-08-04,34674.83,Fully Paid,34247.75,2272.33,427.08,2025-01-05,2025-02-04,5,0,2023-06-29,Credit Card Refinancing,34674.83,60,Approved,Disbursed,23.4,25.09,Charles Nair,42.0,Employed,1.44,105826.68,Rent,Minneapolis,MN,2019-12-06,725.0,13.0,13.0,0.0,29.95,28.0,2.0,0.0
LOAN0000058,APP0000101,CUST000232,2024-11-09,17684.06,Late (31-120 days),8466.72,1004.86,9217.34,,2026-02-07,354,1,2025-12-15,Credit Card Refinancing,17684.06,60,Approved,Disbursed,15.92,10.03,Deepa Reddy,42.0,Unemployed,0.0,18784.0,Own,Louisville,KY,18/09/2015,614.0,5.0,11.0,0.0,33.21,354.0,0.0,12.0
LOAN0000059,APP0000104,CUST000494,2022-11-08,9818.01,Late (16-30 days),7688.46,954.54,2129.55,2023-12-01,2023-12-31,20,0,2023-01-13,Home Improvement,9818.01,36,Approved,Disbursed,13.48,37.64,Linda Garcia,29.0,Employed,1.45,15000.0,Own,Oklahoma City,OK,2015-04-03,622.0,8.0,11.0,0.0,13.79,275.0,0.0,1.0
LOAN0000060,APP0000105,CUST004034,2022-03-08,14151.29,Fully Paid,13851.63,2857.06,299.66,2024-06-12,2024-07-12,0,0,2022-09-17,Debt Consolidation,14151.29,60,Approved,Disbursed,12.4,9.23,Thomas Williams,22.0,Employed,0.95,38925.95,Mortgage,San Jose,CA,2016-07-31,624.0,11.0,4.0,1.0,2.69,345.0,0.0,0.0
LOAN0000061,APP0000109,CUST001957,2023-09-20,5951.59,Current,5499.6,838.47,451.99,2025-03-04,2025-04-03,0,0,2022-08-19,Major Purchase,5951.59,36,Approved,Disbursed,23.44,21.33,Priya Jones,22.0,Retired,0.0,110731.59,Own,Washington,DC,2020-02-13,567.0,13.0,6.0,0.0,16.47,46.0,2.0,0.0
LOAN0000062,APP0000110,CUST003339,2022-02-09,14157.14,Fully Paid,8760.62,1284.8,5396.52,2024-01-31,2024-03-01,0,0,2023-07-28,Debt Consolidation,14157.14,60,Approved,Disbursed,6.97,29.64,Robert Brown,46.0,Unemployed,0.0,88003.11,Mortgage,Boston,MA,2016-01-19,638.0,22.0,7.0,0.0,61.32,309.0,1.0,0.0
LOAN0000063,APP0000112,CUST002702,2022-06-25,2994.4,Current,1975.15,472.23,1019.25,2022-09-12,2022-10-12,10,0,,Credit Card Refinancing,2994.4,60,Approved,Disbursed,11.84,35.48,Jessica Patel,53.0,Employed,2.61,321522.82,Own,Oklahoma City,OK,2015-03-20,494.0,24.0,7.0,0.0,19.33,78.0,1.0,0.0
LOAN0000064,APP0000115,CUST001860,2022-03-20,10387.21,Late (31-120 days),3394.9,264.18,6992.31,2022-10-26,2022-11-25,228,1,2025-10-09,Debt Consolidation,10387.21,36,Approved,Disbursed,17.92,9.71,James Anderson,43.0,Employed,11.14,76393.77,Own,Louisville,KY,2019-02-21,775.0,3.0,3.0,1.0,40.7,241.0,3.0,17.0
LOAN0000065,APP0000118,CUST002905,2023-12-05,17119.18,Current,16430.88,3404.71,688.3,2025-11-18,2025-12-18,20,0,2024-06-05,Home Improvement,17119.18,60,Approved,Disbursed,12.86,,Sneha Rao,22.0,Employed,0.06,154539.32,Own,Sacramento,CA,2020-01-05,594.0,13.0,10.0,3.0,24.0,181.0,3.0,0.0
LOAN0000066,APP0000119,CUST001972,2022-02-05,13884.26,Fully Paid,11802.42,626.4,2081.84,,2022-03-13,0,0,2022-05-07,Major Purchase,13884.26,60,Approved,Disbursed,24.92,20.03,Karen Singh,22.0,Self-Employed,19.63,54515.16,Mortgage,Oklahoma City,OK,2020-04-30,667.0,21.0,4.0,0.0,10.79,184.0,0.0,0.0
LOAN0000067,APP0000127,CUST001789,2022-10-26,19392.22,Fully Paid,13634.07,3355.29,5758.15,2024-10-07,2024-11-06,0,0,2025-12-18,Home Improvement,19392.22,36,Approved,Disbursed,26.23,5.23,Patricia Anderson,43.0,Employed,0.79,34373.61,Rent,Washington,DC,16/12/2017,793.0,9.0,11.0,1.0,4.5,14.0,2.0,0.0
LOAN0000068,APP0000131,CUST004836,2024-12-09,16463.15,Current,13102.35,1755.34,3360.8,2026-09-08,2026-10-08,0,0,2022-06-06,Home Improvement,16463.15,36,Approved,Disbursed,27.53,6.65,Priya Singh,41.0,Employed,1.24,63244.48,Mortgage,Atlanta,GA,2020-04-15,669.0,4.0,3.0,0.0,26.22,282.0,4.0,0.0
LOAN0000069,APP0000132,CUST004883,2022-09-26,12443.94,Current,11408.8,1522.34,1035.14,2023-01-30,2023-03-01,5,0,2022-06-28,Home Improvement,12443.94,60,Approved,Disbursed,7.2,21.86,Anjali Sharma,29.0,Employed,2.34,42106.32,Own,El Paso,TX,2017-11-28,738.0,20.0,11.0,0.0,35.58,22.0,0.0,0.0
LOAN0000070,APP0000133,CUST001810,2022-04-25,4570.52,Fully Paid,3622.23,345.4,948.29,2023-10-23,2023-11-22,0,0,2024-09-03,Home Improvement,4570.52,60,Approved,Disbursed,23.74,29.71,Sunita Lopez,50.0,Unemployed,0.0,71394.11,Mortgage,Atlanta,GA,2020-08-21,663.0,19.0,10.0,0.0,65.63,214.0,0.0,0.0
LOAN0000071,APP0000134,CUST001345,2022-12-09,18668.71,Late (31-120 days),10371.83,1396.85,8296.88,2023-08-26,2023-09-25,84,1,2025-02-08,Debt Consolidation,18668.71,60,Approved,Disbursed,17.32,8.57,Arjun Miller,51.0,Employed,8.15,24426.94,Rent,Phoenix,AZ,2019-02-03,606.0,18.0,9.0,0.0,28.71,144.0,2.0,7.0
LOAN0000072,APP0000139,CUST004840,2025-10-12,13505.56,Charged-Off,3455.83,312.11,10049.73,,2027-08-31,171,1,2024-06-19,Major Purchase,13505.56,36,Approved,Disbursed,19.41,,Barbara Miller,32.0,Employed,4.6,34032.79,Mortgage,Oklahoma City,OK,2015-09-06,580.0,23.0,14.0,3.0,14.91,161.0,0.0,7.0
