customer_id,customer_name,age,employment_status,length_of_employment_years,annual_income,housing_status,city,state,join_date
CUST000058,John Kumar,36,SELF-EMPLOYED,1.3,255573.84,Mortgage,Charlotte,NC,2020-02-18
CUST000059,Charles Hernandez,43,Self-Employed,0.4,146865.86,Mortgage,Denver,CO,2019-08-30
CUST000060,Linda Kumar,51,Self-Employed,1.23,50474.56,Mortgage,Philadelphia,PA,2018-09-22
CUST000061,Thomas Singh,34,Retired,0.0,,Mortgage,Charlotte,NC,27/05/2018
CUST000062,Thomas Nair,37,unemployed,0.0,71169.31,Rent,San Antonio,TX,2021-06-03
CUST000063,Deepa Gonzalez,26,Self-Employed,1.05,25175.96,Mortgage,Memphis,TN,2016-04-10
CUST000064,Sneha Rao,25,Unemployed,0.0,78191.18,Own,Seattle,WA,2020-03-12
CUST000065,Sarah Rao,49,Retired,0.0,76644.98,Mortgage,Milwaukee,WI,2020-12-01
CUST000066,Arjun Rao,56,Retired,0.0,34035.46,Rent,Boston,MA,2020-06-20
CUST000067,Anil Mehta,39,Self-Employed,6.64,,RENT,Austin,TX,12/04/2017
CUST000068,Anil Patel,52,Employed,12.59,97085.26,Mortgage,Boston,MA,2017-10-08
CUST000069,Mary Sharma,44,Self-Employed,2.33,107526.65,OWN,Washington,DC,2020-11-02
CUST000070,Linda Rodriguez,32,Employed,5.83,,Own,Columbus,OH,2018-06-14
CUST000071,John Gonzalez,44,Employed,5.04,25608.65,Own,Seattle,WA,2021-06-19
CUST000072,Joseph Mehta,58,Employed,2.74,107658.92,Own,Phoenix,AZ,22/04/2016
CUST000073,Joseph Hernandez,39,Retired,0.0,50908.09,Rent,Omaha,NE,2019-04-12
CUST000074,Sunita Lopez,58,Employed,3.21,26007.28,Mortgage,Austin,TX,2018-08-10
CUST000075,Amit Singh,22,Self-Employed,2.19,134756.35,Mortgage,Fresno,CA,2019-01-30
CUST000076,James Nair,49,Employed,3.99,211006.56,Rent,Indianapolis,Indiana,2016-12-24
CUST000077,Thomas Davis,41,employed,0.67,58410.51,Mortgage,Austin,TX,2021-06-29
CUST000078,Charles Williams,36,Employed,6.44,218703.61,Own,Milwaukee,WI,2017-07-30
CUST000079,Vikram Mehta,41,Self-Employed,7.75,63246.11,Mortgage,Memphis,TN,2020-07-13
CUST000080,Arjun Williams,22,Unemployed,0.0,47654.22,Own,Seattle,Washington,2015-03-04
CUST000081,Susan Sharma,37,Employed,0.96,41016.3,MORTGAGE,Sacramento,CA,2017-09-24
CUST000082,Priya Lopez,44,EMPLOYED,4.89,159891.29,Rent,Charlotte,NC,2021-10-11
CUST000083,Jessica Patel,57,Self-Employed,15.6,37493.16,Rent,Oklahoma City,OK,30/07/2020
CUST000084,Karen Garcia,33,Employed,6.03,93075.06,Own,Houston,TX,2021-04-07
CUST000085,Richard Sharma,30,Employed,0.66,42808.92,mortgage,Charlotte,NC,2016-12-07
CUST000086,Richard Davis,33,EMPLOYED,2.53,45424.91,Rent,Chicago,IL,10/03/2015
CUST000087,Sarah Rodriguez,50,Self-Employed,12.35,111095.98,Mortgage,Oklahoma City,OK,2019-06-28
CUST000088,Jessica Davis,43,Employed,5.03,47666.2,Mortgage,Louisville,KY,2021-12-19
CUST000089,Richard Davis,33,Employed,0.8,46963.35,OWN,Seattle,WA,2019-01-31
CUST000090,Neha Jones,46,Retired,0.0,118146.76,Rent,Phoenix,AZ,2019-10-05
CUST000091,Michael Brown,41,Self-Employed,2.18,,Rent,Columbus,OH,2019-10-27
CUST000092,Jennifer Mehta,51,Employed,3.36,88151.65,Rent,Cleveland,OH,2021-12-23
CUST000093,Kiran Gupta,31,EMPLOYED,2.68,,RENT,Oklahoma City,OK,2015-03-31
CUST000094,James Rao,36,Employed,6.47,44074.42,Own,Columbus,OH,2019-06-22
CUST000095,Robert Sharma,35,Employed,1.23,62815.0,Rent,Miami,FL,2021-02-08
CUST000096,Rahul Gupta,22,Employed,2.46,72588.23,Mortgage,Louisville,KY,2020-02-24
CUST000097,Priya Sharma,43,Employed,6.82,33099.73,rent,Milwaukee,WI,2019-12-07
CUST000098,Karen Sharma,43,employed,6.1,92394.5,Rent,San Jose,California,2019-05-24
CUST000099,Susan Rao,40,Retired,0.0,63026.34,Rent,San Francisco,CA,2020-01-15
CUST000100,Pooja Rodriguez,37,Retired,0.0,21387.78,Rent,Dallas,TX,10/03/2021
CUST000101,Vikram Davis,23,Employed,0.07,34291.2,Mortgage,Indianapolis,IN,22/12/2016
CUST000102,William Johnson,34,Self-Employed,3.78,44246.11,Rent,Sacramento,CA,2018-07-27
CUST000103,Amit Wilson,35,Employed,1.65,57313.15,Rent,Fresno,CA,2020-09-09
CUST000104,Sneha Singh,30,Self-Employed,0.06,186012.15,Mortgage,San Francisco,California,2020-10-07
CUST000105,Robert Kumar,38,Employed,2.76,,Rent,Raleigh,NC,2019-06-01
CUST000106,Neha Gonzalez,44,Retired,0.0,36153.78,Rent,Las Vegas,NV,2021-03-06
CUST000107,Susan Anderson,62,Unemployed,0.0,68348.75,Mortgage,Raleigh,NC,2016-06-28
CUST000108,Linda Nair,42,EMPLOYED,2.33,48472.28,Own,Louisville,KY,2015-03-16
CUST000109,Amit Anderson,43,Self-Employed,2.98,72755.15,Own,Boston,MA,2017-10-05
CUST000110,Priya Nair,39,Self-Employed,1.39,84824.58,Own,Charlotte,North Carolina,2019-10-01
CUST000111,James Smith,22,Employed,0.35,123690.58,Mortgage,Dallas,TX,2019-03-05
CUST000112,Jessica Gonzalez,39,Self-Employed,5.92,59007.99,Mortgage,Minneapolis,MN,07/10/2019
CUST000113,Michael Hernandez,40,Self-Employed,8.05,160071.57,Mortgage,Miami,FL,2019-07-10
CUST000114,Rahul Gupta,69,Unemployed,0.0,,Mortgage,Philadelphia,PA,2019-10-27
CUST000115,Thomas Garcia,37,Self-Employed,13.69,39164.9,Rent,Houston,TX,06/04/2016
CUST000116,Thomas Davis,43,Employed,12.38,225463.46,Mortgage,San Diego,CA,2019-07-25
CUST000117,Karen Sharma,39,Unemployed,0.0,72852.83,Rent,San Jose,CA,2016-05-30
CUST000118,Arjun Lopez,25,Retired,0.0,36276.5,Own,Austin,TX,2017-04-01
CUST000119,Susan Sharma,53,Employed,2.39,161417.24,Mortgage,Las Vegas,NV,2018-12-01
CUST000120,Ramesh Miller,49,Employed,10.86,208285.82,Mortgage,Omaha,NE,2017-12-20
CUST000121,Sunita Nair,49,Self-Employed,2.91,58699.4,Rent,Phoenix,AZ,2021-09-19
CUST000122,Rahul Lopez,29,Retired,0.0,44258.82,Mortgage,Memphis,TN,2015-10-05
CUST000123,Vikram Rodriguez,56,Employed,0.06,53991.13,OWN,Memphis,TN,2019-04-13
CUST000124,Deepa Garcia,23,Employed,0.27,91935.18,Mortgage,Omaha,NE,2019-01-27
CUST000125,William Patel,47,Employed,5.56,128889.92,Mortgage,Milwaukee,WI,2015-10-24
CUST000126,Joseph Brown,66,Self-Employed,13.87,84313.09,Mortgage,Tucson,AZ,23/04/2017
CUST000127,Karen Davis,28,Retired,0.0,63642.32,Mortgage,San Francisco,CA,2020-07-26
CUST000128,Ramesh Gonzalez,33,Employed,0.49,147091.05,Mortgage,Sacramento,CA,2021-08-31
CUST000129,Richard Jones,41,Employed,1.2,49627.39,Rent,New York,NY,2020-03-25
CUST000130,Barbara Sharma,33,Retired,0.0,111140.63,Rent,San Diego,CA,2016-07-09
CUST000131,James Garcia,22,Employed,1.73,50370.57,Mortgage,Fresno,CA,2018-12-24
CUST000132,Sunita Sharma,40,Unemployed,0.0,77545.01,Own,Seattle,WA,2015-01-25
CUST000133,William Shah,27,Employed,1.34,55930.35,Rent,El Paso,TX,2020-10-07
CUST000134,Amit Singh,45,Employed,12.71,57900.93,mortgage,San Diego,CA,2016-04-01
CUST000135,Priya Sharma,28,employed,11.05,47742.06,mortgage,Denver,CO,2018-04-30
CUST000136,Lisa Rodriguez,58,Self-Employed,1.9,134176.64,Mortgage,Las Vegas,NV,17/03/2019
CUST000137,Patricia Gonzalez,30,Retired,0.0,38570.55,Rent,Austin,TX,2021-10-12
CUST000138,Michael Nair,36,Retired,0.0,38401.84,Rent,Milwaukee,WI,2017-10-27
CUST000139,David Johnson,49,Unemployed,0.0,213757.21,Rent,New York,NY,2015-04-02
CUST000140,Jessica Rodriguez,25,Employed,5.16,107657.32,Rent,San Francisco,CA,2020-08-05
CUST000141,Sneha Shah,42,EMPLOYED,0.33,15000.0,rent,Minneapolis,MN,2020-11-08
CUST000142,Michael Anderson,55,Employed,2.1,42652.65,Rent,Jacksonville,FL,2018-09-19
CUST000143,Arjun Rodriguez,22,Retired,0.0,20187.25,Own,Minneapolis,Minnesota,10/04/2016
CUST000144,Rahul Lopez,42,Employed,0.26,33846.32,Rent,San Antonio,TX,2016-12-27
CUST000145,Thomas Lopez,43,Retired,0.0,15000.0,Own,Nashville,TN,2020-06-10
CUST000146,Mary Wilson,49,RETIRED,0.0,55149.68,Rent,Minneapolis,MN,23/03/2017
CUST000147,Linda Lopez,25,Employed,0.2,30176.99,Own,Omaha,NE,03/03/2015
CUST000148,Richard Patel,24,Unemployed,0.0,62065.35,Mortgage,Fort Worth,TX,2018-05-01
CUST000149,Susan Rao,46,Retired,0.0,22582.43,Own,San Jose,CA,2021-12-27
CUST000150,Charles Lopez,43,Unemployed,0.0,,Mortgage,Boston,MA,2019-05-13
CUST000151,Priya Mehta,43,Self-Employed,19.39,46679.03,Mortgage,Austin,TX,2020-07-31
CUST000152,Pooja Sharma,44,Unemployed,0.0,147439.29,Own,Fresno,CA,2020-07-18
CUST000153,Deepa Williams,31,Employed,0.45,139638.77,Rent,Tucson,AZ,2015-02-01
CUST000154,Anjali Gupta,42,Self-Employed,7.41,95914.01,Rent,New York,NY,2021-11-23
CUST000155,Charles Anderson,43,Employed,6.17,49218.84,Rent,Omaha,NE,2019-05-22
CUST000156,Barbara Garcia,31,EMPLOYED,4.33,197053.05,Rent,Oklahoma City,OK,2016-10-28
CUST000157,Arjun Wilson,62,Unemployed,0.0,23580.58,Rent,Miami,FL,2015-09-07
CUST000158,Vikram Williams,45,Self-Employed,12.13,25793.17,Rent,Los Angeles,CA,2020-12-31
CUST000159,Jennifer Garcia,25,Employed,5.75,56938.68,Mortgage,San Diego,CA,2020-05-10
CUST000160,Arjun Davis,47,Employed,0.59,231520.31,mortgage,Boston,MA,2018-02-09
CUST000161,Priya Hernandez,28,RETIRED,0.0,53029.13,Rent,Nashville,TN,25/04/2021
CUST000162,Charles Nair,49,Unemployed,0.0,53640.13,Mortgage,Indianapolis,IN,2018-05-21
CUST000163,Karen Gupta,53,Employed,1.73,25206.41,Own,Houston,Texas,2021-07-14
CUST000164,Vikram Rodriguez,30,Retired,0.0,105615.22,rent,Indianapolis,Indiana,2015-08-06
CUST000165,Deepa Rao,51,Employed,4.72,106075.43,Mortgage,Cleveland,OH,01/06/2021
CUST000166,Rahul Reddy,44,self-employed,5.75,96128.88,Mortgage,Philadelphia,PA,2016-04-15
CUST000167,Amit Anderson,49,Self-Employed,5.99,41046.78,Own,Philadelphia,PA,2016-10-05
CUST000168,Sunita Garcia,62,Retired,0.0,39182.13,Rent,Miami,FL,2019-10-23
CUST000169,Susan Smith,37,Unemployed,0.0,27560.16,Rent,Phoenix,AZ,17/06/2018
CUST000170,William Reddy,30,employed,1.11,62964.32,Own,Fresno,California,2015-06-02
CUST000171,Sarah Mehta,29,Self-Employed,4.6,31311.97,Own,Dallas,TX,2019-04-18
CUST000172,Thomas Reddy,30,Employed,4.19,,own,Dallas,TX,2020-07-09
CUST000173,Jennifer Miller,39,Employed,3.5,46433.92,Rent,Atlanta,GA,2015-08-04
CUST000174,David Gonzalez,44,Employed,1.76,44645.39,Mortgage,Sacramento,CA,2017-04-10
CUST000175,Michael Brown,43,Employed,1.35,43356.54,Mortgage,Austin,TX,2015-01-13
CUST000176,John Sharma,49,Employed,11.05,79210.71,Own,San Francisco,CA,2016-12-12
CUST000177,Patricia Smith,40,EMPLOYED,0.25,62782.31,Mortgage,Tucson,AZ,27/09/2015
CUST000178,Vikram Kumar,57,Self-Employed,5.34,50367.75,Mortgage,Omaha,NE,2021-04-11
CUST000179,Jennifer Brown,36,Self-Employed,0.1,66823.34,Mortgage,Las Vegas,NV,2019-11-01
CUST000180,Thomas Gupta,72,Employed,1.08,33027.1,Own,Columbus,OH,2018-05-30
CUST000181,Barbara Williams,47,Retired,0.0,63778.23,Mortgage,Fresno,CA,2016-10-25
CUST000182,Anjali Martinez,29,Employed,10.88,65536.43,Mortgage,Fort Worth,TX,2015-09-16
CUST000183,Joseph Davis,27,Employed,0.74,24298.55,Mortgage,Nashville,TN,2019-06-16
CUST000184,Charles Anderson,45,Employed,13.89,108816.28,MORTGAGE,Louisville,KY,2019-07-10
CUST000185,William Jones,37,Employed,8.45,35282.41,Rent,Boston,MA,2019-09-08
CUST000186,Amit Garcia,48,Employed,5.68,63207.98,Mortgage,Baltimore,MD,2016-08-03
CUST000187,Mary Johnson,45,Retired,0.0,120408.7,Rent,Tucson,AZ,2017-11-26
CUST000188,Neha Hernandez,39,Employed,11.78,104339.58,own,Baltimore,Maryland,2017-04-14
CUST000189,Sneha Anderson,29,Employed,3.75,61120.34,Own,San Diego,CA,2020-06-02
CUST000190,Karen Singh,22,Employed,2.32,48170.43,Own,Indianapolis,IN,2021-06-14
CUST000191,Deepa Jones,34,Unemployed,0.0,105715.54,Mortgage,Charlotte,NC,26/10/2018
CUST000192,Susan Patel,50,Employed,1.32,,Own,Phoenix,AZ,2016-07-17
CUST000193,Anil Shah,42,Unemployed,0.0,,Own,El Paso,TX,2020-03-22
CUST000194,Ramesh Kumar,25,Employed,12.59,37162.81,Mortgage,Los Angeles,CA,06/05/2017
CUST000195,Lisa Lopez,42,Employed,7.9,17267.59,Rent,Raleigh,NC,2015-10-03
CUST000196,Sneha Singh,44,Employed,3.6,65671.42,Rent,Sacramento,CA,2021-08-27
CUST000197,Joseph Williams,29,Unemployed,0.0,56975.77,Mortgage,Charlotte,NC,2017-11-19
CUST000198,Deepa Martinez,41,Self-Employed,8.24,118387.07,Mortgage,Raleigh,NC,17/02/2019
CUST000199,Rahul Wilson,40,Employed,4.23,74267.82,Rent,Charlotte,NC,2016-11-08
CUST000200,Thomas Jones,26,Employed,2.68,133324.0,MORTGAGE,New York,NY,2016-01-21
CUST000201,Lisa Smith,44,Employed,3.62,39402.38,Rent,Phoenix,AZ,2017-08-03
CUST000202,James Kumar,46,Employed,1.32,118526.31,Rent,Houston,Texas,2019-01-12
CUST000203,William Lopez,52,Employed,1.13,43592.93,Rent,Charlotte,NC,2016-04-17
CUST000204,Charles Sharma,52,Unemployed,0.0,95469.07,Mortgage,Phoenix,AZ,2016-08-20
CUST000205,James Nair,23,Self-Employed,17.47,24952.89,Mortgage,Chicago,IL,24/09/2017
CUST000206,Kiran Rao,28,Employed,2.73,68946.16,Rent,El Paso,TX,2017-08-02
CUST000207,Sneha Martinez,46,Retired,0.0,18200.19,Mortgage,Phoenix,AZ,2020-05-08
CUST000208,James Rao,46,Retired,0.0,51006.97,Rent,Minneapolis,MN,2016-02-11
CUST000209,Ramesh Martinez,46,Employed,6.47,77980.37,Mortgage,Indianapolis,IN,2016-02-26
CUST000210,Joseph Smith,75,Employed,0.52,43801.3,Rent,Seattle,WA,2018-07-10
CUST000211,Rahul Miller,46,Retired,0.0,31880.1,Mortgage,Miami,FL,2015-11-17
CUST000212,Sunita Singh,53,SELF-EMPLOYED,1.44,99475.94,Own,Columbus,OH,2017-03-05
CUST000213,Ramesh Gonzalez,51,Employed,24.55,56270.31,Mortgage,Fresno,CA,17/06/2021
CUST000214,Sarah Garcia,47,Self-Employed,6.91,44634.29,Mortgage,Dallas,TX,2016-10-17
CUST000215,Anjali Gonzalez,36,Employed,0.24,61398.31,Own,Cleveland,OH,2016-01-26
CUST000216,Joseph Rodriguez,49,Unemployed,0.0,291268.7,Mortgage,Cleveland,OH,2017-12-10
CUST000217,Jennifer Wilson,30,Employed,13.15,,Own,Atlanta,GA,2020-02-17
CUST000218,Sarah Kumar,37,Self-Employed,2.03,120275.98,Mortgage,Indianapolis,IN,17/11/2019
CUST000219,Karen Martinez,34,Employed,5.14,77755.75,Mortgage,Atlanta,GA,2021-08-16
CUST000220,Karen Wilson,40,EMPLOYED,5.73,66163.96,Own,Portland,OR,2018-03-28
CUST000221,Richard Williams,67,Employed,6.54,15000.0,Mortgage,Fort Worth,TX,2020-08-20
CUST000222,Susan Jones,22,Employed,5.91,39839.41,Own,San Antonio,TX,2021-03-04
CUST000223,Charles Brown,48,Self-Employed,4.1,44875.86,Rent,San Antonio,TX,23/07/2020
CUST000224,Anil Gupta,22,Employed,15.38,19439.55,Mortgage,Las Vegas,NV,2019-04-01
CUST000225,Deepa Rodriguez,34,Employed,3.59,29898.11,Rent,Washington,DC,2016-10-27
CUST000226,Kiran Miller,53,Employed,0.59,,own,Las Vegas,NV,2020-05-16
CUST000227,Priya Smith,40,Self-Employed,0.42,58513.09,Mortgage,Portland,OR,2018-09-21
CUST000228,Barbara Johnson,27,Employed,0.09,97856.71,Mortgage,Milwaukee,WI,21/10/2021
CUST000229,Mary Garcia,31,Employed,2.79,116315.86,Own,Houston,TX,2015-04-22
CUST000230,Michael Martinez,48,Retired,0.0,76793.15,Own,San Antonio,Texas,2015-04-29
CUST000231,Karen Jones,31,Employed,11.28,33589.28,Mortgage,Houston,TX,2018-02-25
CUST000232,Deepa Reddy,42,Unemployed,0.0,18784.0,Own,Louisville,KY,18/09/2015
CUST000233,James Davis,40,Employed,9.1,,Mortgage,El Paso,TX,2020-12-27
CUST000234,Jennifer Jones,32,Self-Employed,10.1,27962.24,Mortgage,San Antonio,TX,2018-09-03
CUST000235,James Sharma,65,Employed,1.77,35125.55,Own,Indianapolis,IN,2017-08-10
CUST000236,Jessica Hernandez,47,Unemployed,0.0,54401.71,Mortgage,Fort Worth,Texas,2016-11-24
CUST000237,Sunita Martinez,22,Employed,1.87,32581.55,Rent,Fort Worth,TX,19/08/2015
CUST000238,Kiran Lopez,42,Employed,0.45,73378.45,Rent,Fresno,CA,2020-06-03
CUST000239,Anil Nair,32,Employed,12.89,52085.19,Own,Baltimore,MD,2018-09-26
CUST000240,Robert Hernandez,50,Unemployed,0.0,60254.19,Own,Dallas,TX,2015-07-21
CUST000241,Jennifer Rao,30,Unemployed,0.0,118675.76,mortgage,Las Vegas,NV,2020-02-16
CUST000242,Barbara Johnson,38,Employed,1.15,29491.61,Own,Jacksonville,FL,2016-08-19
CUST000243,Karen Rao,46,Employed,3.0,76973.98,Own,Seattle,WA,2015-08-26
CUST000244,Vikram Williams,50,Self-Employed,0.27,59374.26,Mortgage,Milwaukee,WI,2020-09-18
CUST000245,Sneha Garcia,25,Unemployed,0.0,,Own,Indianapolis,IN,31/10/2016
CUST000246,Richard Rodriguez,35,Self-Employed,6.08,101839.55,Mortgage,Phoenix,AZ,2019-12-29
CUST000247,Anjali Smith,34,RETIRED,0.0,101458.84,Mortgage,Baltimore,MD,2019-11-11
CUST000248,Linda Rao,32,Employed,13.21,33931.72,Own,Sacramento,CA,2016-11-29
CUST000249,Sarah Gonzalez,61,Employed,3.67,53675.06,Mortgage,San Antonio,TX,2016-12-11
CUST000250,Deepa Davis,44,Employed,1.87,70878.83,Mortgage,Houston,TX,2016-03-31
CUST000251,Robert Miller,24,self-employed,12.68,50827.66,Mortgage,Fresno,California,2019-06-01
CUST000252,Anil Reddy,51,Employed,7.72,85051.55,Rent,New York,NY,2020-04-08
CUST000253,Michael Kumar,65,Employed,4.42,70877.99,Rent,Philadelphia,PA,2020-09-18
CUST000254,Jessica Sharma,52,Employed,9.0,179788.55,Mortgage,Indianapolis,IN,2016-06-05
CUST000255,Anjali Mehta,22,employed,3.07,23904.75,rent,Austin,TX,2020-01-01
CUST000256,Lisa Hernandez,34,Employed,0.6,55633.37,Own,Portland,OR,2015-03-05
CUST000257,David Shah,55,employed,13.92,34714.01,Mortgage,Miami,FL,2016-04-17
CUST000258,Robert Reddy,9,Retired,0.0,86031.13,Rent,Atlanta,GA,30/07/2021
CUST000259,Amit Brown,45,Employed,5.94,22690.39,Mortgage,Columbus,OH,10/04/2015
CUST000260,Thomas Sharma,49,Employed,2.49,73702.18,Own,Louisville,KY,2017-11-24
CUST000261,Lisa Miller,28,Self-Employed,0.73,41026.4,Own,Houston,TX,2020-10-28
CUST000262,Rahul Johnson,39,Unemployed,0.0,38541.96,Mortgage,Austin,TX,08/08/2019
CUST000263,Jessica Brown,22,Self-Employed,0.22,25137.12,MORTGAGE,Memphis,TN,2015-05-06
CUST000264,Sarah Shah,27,Employed,0.46,45295.11,RENT,New York,NY,2018-04-04
CUST000265,Ramesh Hernandez,36,Unemployed,0.0,114771.71,OWN,Memphis,TN,2018-06-05
CUST000266,James Garcia,25,Employed,4.12,58976.05,Rent,San Francisco,CA,2018-12-03
CUST000267,Karen Patel,59,Employed,24.73,87256.58,Own,Milwaukee,WI,2016-11-24
CUST000268,Linda Gonzalez,22,Self-Employed,9.28,162557.18,Rent,Denver,CO,09/04/2016
CUST000269,Sarah Smith,34,Self-Employed,0.45,70140.34,Rent,Las Vegas,NV,2017-08-03
CUST000270,Robert Patel,41,Employed,9.24,42818.27,Own,Sacramento,CA,2020-07-20
CUST000271,Sneha Nair,57,Retired,0.0,,Mortgage,Miami,FL,2021-09-20
CUST000272,Barbara Lopez,22,Self-Employed,5.4,43192.51,Own,San Jose,CA,2020-10-31
CUST000273,Jennifer Davis,53,Unemployed,0.0,44238.31,Rent,Fort Worth,TX,2017-07-01
CUST000274,David Sharma,40,employed,2.52,,Mortgage,Denver,CO,16/11/2017
CUST000275,Jennifer Mehta,28,Employed,10.78,104375.94,Rent,Columbus,OH,2019-05-21
CUST000276,Arjun Rao,45,Employed,2.77,47495.89,Own,Houston,TX,2020-01-08
CUST000277,Patricia Johnson,42,Employed,0.68,66786.68,Rent,Raleigh,NC,2020-09-23
